ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP
75802,Anderson County,TX,48001,H1
75770,Anderson County,TX,48001,H1
75861,Anderson County,TX,48001,H1
75844,Anderson County,TX,48001,H1
75763,Anderson County,TX,48001,H1
75779,Anderson County,TX,48001,H1
75886,Anderson County,TX,48001,H1
75839,Anderson County,TX,48001,H1
75751,Anderson County,TX,48001,H1
75752,Anderson County,TX,48001,H1
75880,Anderson County,TX,48001,H1
75801,Anderson County,TX,48001,H1
75884,Anderson County,TX,48001,H1
75853,Anderson County,TX,48001,H1
75832,Anderson County,TX,48001,H1
75803,Anderson County,TX,48001,H1
75882,Anderson County,TX,48001,H1
79714,Andrews County,TX,48003,H1
75903,Angelina County,TX,48005,H1
75969,Angelina County,TX,48005,H1
75901,Angelina County,TX,48005,H1
75902,Angelina County,TX,48005,H1
75980,Angelina County,TX,48005,H1
75949,Angelina County,TX,48005,H1
75941,Angelina County,TX,48005,H1
75915,Angelina County,TX,48005,H1
75904,Angelina County,TX,48005,H1
78336,Aransas County,TX,48007,H1
78381,Aransas County,TX,48007,H1
78382,Aransas County,TX,48007,H1
78390,Aransas County,TX,48007,H1
78358,Aransas County,TX,48007,H1
76360,Archer County,TX,48009,H1
76389,Archer County,TX,48009,H1
76351,Archer County,TX,48009,H1
76366,Archer County,TX,48009,H1
76310,Archer County,TX,48009,H1
76370,Archer County,TX,48009,H1
76374,Archer County,TX,48009,H1
76308,Archer County,TX,48009,H1
76379,Archer County,TX,48009,H1
76302,Archer County,TX,48009,H1
79039,Armstrong County,TX,48011,H1
79042,Armstrong County,TX,48011,H1
79094,Armstrong County,TX,48011,H1
79226,Armstrong County,TX,48011,H1
79019,Armstrong County,TX,48011,H1
78026,Atascosa County,TX,48013,H1
78073,Atascosa County,TX,48013,H1
78065,Atascosa County,TX,48013,H1
78011,Atascosa County,TX,48013,H1
78114,Atascosa County,TX,48013,H1
78113,Atascosa County,TX,48013,H1
78012,Atascosa County,TX,48013,H1
78264,Atascosa County,TX,48013,H1
78064,Atascosa County,TX,48013,H1
78052,Atascosa County,TX,48013,H1
78062,Atascosa County,TX,48013,H1
78118,Atascosa County,TX,48013,H1
78005,Atascosa County,TX,48013,H1
78050,Atascosa County,TX,48013,H1
78069,Atascosa County,TX,48013,H1
78008,Atascosa County,TX,48013,H1
77833,Austin County,TX,48015,H1
77474,Austin County,TX,48015,H1
77485,Austin County,TX,48015,H1
78940,Austin County,TX,48015,H1
78954,Austin County,TX,48015,H1
77418,Austin County,TX,48015,H1
78944,Austin County,TX,48015,H1
78933,Austin County,TX,48015,H1
77426,Austin County,TX,48015,H1
77473,Austin County,TX,48015,H1
77452,Austin County,TX,48015,H1
78950,Austin County,TX,48015,H1
78931,Austin County,TX,48015,H1
77835,Austin County,TX,48015,H1
79324,Bailey County,TX,48017,H1
79371,Bailey County,TX,48017,H1
79344,Bailey County,TX,48017,H1
79347,Bailey County,TX,48017,H1
78883,Bandera County,TX,48019,H1
78003,Bandera County,TX,48019,H1
78055,Bandera County,TX,48019,H1
78885,Bandera County,TX,48019,H1
78010,Bandera County,TX,48019,H1
78850,Bandera County,TX,48019,H1
78884,Bandera County,TX,48019,H1
78063,Bandera County,TX,48019,H1
78023,Bandera County,TX,48019,H1
78659,Bastrop County,TX,48021,H1
78662,Bastrop County,TX,48021,H1
78959,Bastrop County,TX,48021,H1
78617,Bastrop County,TX,48021,H1
78650,Bastrop County,TX,48021,H1
78957,Bastrop County,TX,48021,H1
78602,Bastrop County,TX,48021,H1
78616,Bastrop County,TX,48021,H1
78941,Bastrop County,TX,48021,H1
78953,Bastrop County,TX,48021,H1
78621,Bastrop County,TX,48021,H1
78612,Bastrop County,TX,48021,H1
78653,Bastrop County,TX,48021,H1
78942,Bastrop County,TX,48021,H1
76380,Baylor County,TX,48023,H1
78104,Bee County,TX,48025,H1
78145,Bee County,TX,48025,H1
78389,Bee County,TX,48025,H1
78125,Bee County,TX,48025,H1
78391,Bee County,TX,48025,H1
78142,Bee County,TX,48025,H1
78162,Bee County,TX,48025,H1
78146,Bee County,TX,48025,H1
78102,Bee County,TX,48025,H1
78387,Bee County,TX,48025,H1
78119,Bee County,TX,48025,H1
76534,Bell County,TX,48027,H1
76548,Bell County,TX,48027,H1
76559,Bell County,TX,48027,H1
76513,Bell County,TX,48027,H1
76537,Bell County,TX,48027,H1
76502,Bell County,TX,48027,H1
76504,Bell County,TX,48027,H1
76547,Bell County,TX,48027,H1
76511,Bell County,TX,48027,H1
76528,Bell County,TX,48027,H1
76539,Bell County,TX,48027,H1
76557,Bell County,TX,48027,H1
76579,Bell County,TX,48027,H1
76554,Bell County,TX,48027,H1
76519,Bell County,TX,48027,H1
76544,Bell County,TX,48027,H1
76542,Bell County,TX,48027,H1
76543,Bell County,TX,48027,H1
76503,Bell County,TX,48027,H1
76527,Bell County,TX,48027,H1
76540,Bell County,TX,48027,H1
76533,Bell County,TX,48027,H1
76541,Bell County,TX,48027,H1
76549,Bell County,TX,48027,H1
76569,Bell County,TX,48027,H1
76571,Bell County,TX,48027,H1
76501,Bell County,TX,48027,H1
76508,Bell County,TX,48027,H1
76564,Bell County,TX,48027,H1
78112,Bexar County,TX,48029,H1
78006,Bexar County,TX,48029,H1
78201,Bexar County,TX,48029,H1
78217,Bexar County,TX,48029,H1
78239,Bexar County,TX,48029,H1
78251,Bexar County,TX,48029,H1
78222,Bexar County,TX,48029,H1
78225,Bexar County,TX,48029,H1
78250,Bexar County,TX,48029,H1
78268,Bexar County,TX,48029,H1
78270,Bexar County,TX,48029,H1
78052,Bexar County,TX,48029,H1
78002,Bexar County,TX,48029,H1
78202,Bexar County,TX,48029,H1
78212,Bexar County,TX,48029,H1
78209,Bexar County,TX,48029,H1
78150,Bexar County,TX,48029,H1
78215,Bexar County,TX,48029,H1
78248,Bexar County,TX,48029,H1
78223,Bexar County,TX,48029,H1
78237,Bexar County,TX,48029,H1
78224,Bexar County,TX,48029,H1
78233,Bexar County,TX,48029,H1
78236,Bexar County,TX,48029,H1
78255,Bexar County,TX,48029,H1
78256,Bexar County,TX,48029,H1
78263,Bexar County,TX,48029,H1
78283,Bexar County,TX,48029,H1
78108,Bexar County,TX,48029,H1
78294,Bexar County,TX,48029,H1
78241,Bexar County,TX,48029,H1
78285,Bexar County,TX,48029,H1
78284,Bexar County,TX,48029,H1
78101,Bexar County,TX,48029,H1
78240,Bexar County,TX,48029,H1
78231,Bexar County,TX,48029,H1
78232,Bexar County,TX,48029,H1
78261,Bexar County,TX,48029,H1
78234,Bexar County,TX,48029,H1
78266,Bexar County,TX,48029,H1
78243,Bexar County,TX,48029,H1
78296,Bexar County,TX,48029,H1
78299,Bexar County,TX,48029,H1
78291,Bexar County,TX,48029,H1
78023,Bexar County,TX,48029,H1
78205,Bexar County,TX,48029,H1
78216,Bexar County,TX,48029,H1
78258,Bexar County,TX,48029,H1
78220,Bexar County,TX,48029,H1
78227,Bexar County,TX,48029,H1
78265,Bexar County,TX,48029,H1
78206,Bexar County,TX,48029,H1
78009,Bexar County,TX,48029,H1
78295,Bexar County,TX,48029,H1
78073,Bexar County,TX,48029,H1
78069,Bexar County,TX,48029,H1
78207,Bexar County,TX,48029,H1
78204,Bexar County,TX,48029,H1
78203,Bexar County,TX,48029,H1
78221,Bexar County,TX,48029,H1
78252,Bexar County,TX,48029,H1
78260,Bexar County,TX,48029,H1
78163,Bexar County,TX,48029,H1
78279,Bexar County,TX,48029,H1
78297,Bexar County,TX,48029,H1
78288,Bexar County,TX,48029,H1
78109,Bexar County,TX,48029,H1
78154,Bexar County,TX,48029,H1
78247,Bexar County,TX,48029,H1
78249,Bexar County,TX,48029,H1
78229,Bexar County,TX,48029,H1
78230,Bexar County,TX,48029,H1
78253,Bexar County,TX,48029,H1
78254,Bexar County,TX,48029,H1
78226,Bexar County,TX,48029,H1
78124,Bexar County,TX,48029,H1
